museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
DPIPWE,OBP,,257,c,OBPc,102,1+,38.92156863,1,0,74.77,79,79,69.91,61.22,52.7,48.1,42.51,38.01,34.52,101,28,10,6.15
DPIPWE,OBP,,773,c,OBPc,100,1+,42.53,1,0,71.29,75,75,65.94,57.83,50.43,44.55,40.25,35.05,31.68,95,25,9.6,6.49
DPIPWE,OBP,,1167,c,OBPc,103,1+,43.95145631,1,0,72.69,77,77,69.61,61.72,55.25,49.58,45.64,41.25,36.4,,29,,
DPIPWE,OBP,,1230,c,OBPc,106,1+,42.99056604,1,0,72.61,75,75,67.61,60.65,52.01,46.38,40.46,36.1,33.01,102,27,,6.57
DPIPWE,OBP,,,c,OBPc,110,,,1,0,79.41,82,82,74.33,64.75,56.35,49.97,44.12,42.33,40.26,114,31,12.11,6.58
DPIPWE,OBP,,,c,OBPc,102.45,,,1,0,71.02,73,73,65.21,57.27,50.14,44.15,37.74,34.11,30.15,,26,11.03,7.08
DPIPWE,OBP,,,c,OBPc,106,,,1,0,75.68,78.5,78.5,71.59,62.58,54.7,48.88,43.92,39.19,34.86,110,30,10.48,6.43
DPIPWE,OBP,,,c,OBPc,98,,,1,0,71.85,75,75,64.62,58.93,51.91,44.74,41.48,36.66,32.74,,29,,
DPIPWE,OBP,13647,265,c,OBPc,96.47,1+,39.8258526,1,0.37,69.46,74,73.63,60.83,59.16,50.79,42.79,39.23,37.81,32.32,,27,10.1,6.69
Healesville,OBP,b60020,2116,c,OBPc,110,1+,44.59090909,1,0.41,75.15,77,76.59,68.54,60.91,52.01,45.96,40.81,36.39,33.15,110,27,10.5,6.87
DPIPWE,OBP,13671,272,c,OBPc,101.5,1+,42.74876847,1,0.42,71.66,74,73.58,65.07,58.94,51.2,45.17,38.82,35.2,30.94,104,26,10.55,6.42
Healesville,OBP,a51357,895,c,OBPc,105,1+,39.48571429,1,0.42,76.04,79,78.58,71.13,61.35,53.22,45.83,42.34,#VALUE!,#VALUE!,115,31,11.09,6.79
TMAG,OBP,b9186,1098,c,OBPc,108,1+,45.87962963,1,0.42,66.2,70,69.58,63.05,54.36,47.58,42.07,38.29,33.6,29.96,107,26,,
DPIPWE,OBP,,,c,OBPc,103,,,1,0.43,76.32,80,79.57,72.03,64.31,57.19,51.07,46.71,42.48,37.38,114,29,,
Healesville,OBP,b20010,1449,c,OBPc,102.24,1+,41.51995305,1,0.48,71.22,74,73.52,66.04,56.83,48.36,42.42,38.22,33.5,30.13,95,27,,
Healesville,OBP,a51297,881,c,OBPc,102,1+,,1,0.5,75.12,76,75.5,70.61,61.21,54.41,45.9,40.96,37.23,32.92,115,28,11.53,6.85
Healesville,OBP,b50488,2104,c,OBPc,108,1+,43.72222222,1,0.5,74.47,78,77.5,69.8,59.52,51.78,46.51,41.74,37.13,33.42,106,29,10.57,6.73
Healesville,OBP,a71453,1056,c,OBPc,112,1+,,1,0.51,82.67,85,84.49,75.93,66.68,59.36,52.58,45.99,42.56,37.57,113,30,,
DPIPWE,OBP,a90058,1198,c,OBPc,106,1+,41.88679245,1,0.51,74.38,78,77.49,71.04,62.47,54.27,48.45,44.15,38.83,34.33,103,,,
DPIPWE,OBP,,,c,OBPc,104,,,1,0.56,68.24,70,69.44,61.6,53.96,47.02,40.92,34.82,29.55,23.45,,29,11.71,6.38
Healesville,OBP,b50476,2102,c,OBPc,110,1+,45.86363636,1,0.61,75.54,77.5,76.89,69.83,60.12,51.61,45.19,39.02,36.53,31.77,96,28,11.88,7.09
DPIPWE,OBP,13492,772,c,OBPc,103.22,1+,42.31738035,1,0.64,74.61,77,76.36,68.85,60.25,53.02,46.66,41.25,37.53,33.56,105,27,11.46,6.36
Healesville,OBP,b20769,1531,c,OBPc,109,1+,41.87155963,1,0.64,76.43,80,79.36,71.9,62.22,53.8,46.34,42.375,38.41,33.99,109,30,11.05,7
Healesville,OBP,b40704,1856,c,OBPc,106,1+,43.33018868,1,0.64,74.6,77,76.36,68.89,61.25,51.38,43.91,38.51,34.83,32.99,103,28,10.98,7.19
Healesville,OBP,b00074,1291,c,OBPc,103,1+,41.69902913,1,0.66,70.81,75,74.34,67.64,58.54,52.7,46.06,39.8,35.96,32.11,103,27,,6.85
Healesville,OBP,b30068,1578,c,OBPc,105,1+,47.72380952,1,0.67,75,75,74.33,68.68,57.89,52.23,46.12,41.43,36.58,33.12,107,29,11.29,6.39
Healesville,OBP,a21416,649,c,OBPc,107,1+,44.99065421,1,0.69,71.28,76,75.31,67.8,60.23,51.7,44.14,38.76,36.07,32.29,104,28,11.9,6.94
Healesville,OBP,b70996,2520,c,OBPc,106,1+,46.86792453,1,0.73,67.46,71,70.27,61.99,52.46,44.93,38.42,33.5,28.93,24.75,92,29,,
Healesville,OBP,b40713,1864,c,OBPc,111,1+,45.63963964,1,0.74,69.39,73,72.26,64.77,55.44,48.68,38.51,36.6,32.17,27.65,107,30,12.4,6.69
Healesville,OBP,b06121,,c,OBPc,100,1+,,1,0.76,70.17,72,71.24,66.49,58.58,51.06,42.98,38.22,34.92,30.9,95,25,11.8,6.4
DPIPWE,OBP,,,c,OBPc,106,,,1,0.77,71.08,73,72.23,63.95,55.2,47.71,40.89,36.17,32.03,26.56,102,29,10.84,6.67
TMAG,OBP,b9183,,c,OBPc,112,1+,45.98214286,1,0.78,73.51,75,74.22,67.38,56.89,48.92,42.32,38.04,32.84,28.97,104,28,,
DPIPWE,OBP,,,c,OBPc,101.35,,,1,0.82,72.73,75,74.18,66.47,57.73,50.49,45.36,42.16,36.91,31.62,103,28,,
Healesville,OBP,b40755,1906,c,OBPc,108,1+,44.92592593,1,0.83,76.56,79,78.17,72.16,63.94,57.01,49.13,42.78,37.83,32.93,109,28,12.23,7.17
Healesville,OBP,b40712,1863,c,OBPc,106,1+,43.89622642,1,0.84,71.88,75,74.16,66.13,58.78,48.83,42.07,37.02,33.19,30.57,99,26,10.58,6.43
Healesville,OBP,b30956,1793,c,OBPc,108,1+,44.75,1,0.86,73.36,76,75.14,66.36,58.98,49.84,43.81,39.54,35.03,31.13,110,30,11.44,6.83
DPIPWE,OBP,10219,324,c,OBPc,106.8,1+,43.89513109,1,0.87,74.91,78,77.13,69.2,61.17,55.04,49.42,45.17,40.1,33.78,,29,11.35,6.78
DPIPWE,OBP,,229,c,OBPc,103,1+,40.33980583,1,0.9,74.62,77,76.1,68.44,60.02,54.11,47.35,43.9,40.62,38.18,,28,10.03,6.41
TMAG,OBP,b9194,,c,OBPc,108,1+,46.64814815,1,0.92,73.35,77,76.08,68.42,59.21,52.46,45.72,42.42,37.83,34.43,105,27.5,,
DPIPWE,OBP,,,c,OBPc,106,,,1,0.92,70.24,74,73.08,64.3,55.6,49.2,42.69,38.29,33.22,29.41,110,29,10.43,6.34
