id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN08-001,2008,Male,A,40,0,2,2,0.869600077815857,NA
CN08-003,2008,Male,A,37,0,3,3,0.580556546336848,CN07-024
CN08-004,2008,Female,A,33,0,1,1,0.195165171031502,CN06-089
CN08-005,2008,Female,A,32,1,1,3,0.0988173272051659,CN07-004
CN08-005,2009,Female,A,50,0,6,6,1.83307851607922,CN07-004
CN08-006,2008,Male,A,36,0,0,0,0.484208702510512,CN06-198
CN08-009,2008,Female,A,40,0,3,3,0.869600077815857,CN06-025
CN08-010,2008,Male,A,38,0,1,1,0.676904390163184,NA
CN08-011,2008,Male,A,37,0,2,2,0.580556546336848,NA
CN08-012,2008,Female,A,39,0,4,4,0.773252233989521,CN06-182
CN08-013,2008,Male,A,45,1,8,10,1.35133929694754,NA
CN08-013,2009,Male,A,50,0,15,15,1.83307851607922,NA
CN08-014,2008,Male,A,40,0,1,1,0.869600077815857,NA
CN08-015,2008,Male,A,42,0,0,0,1.06229576546853,CN06-071
CN08-016,2008,Male,A,45,0,10,10,1.35133929694754,NA
CN08-017,2008,Female,J,15,0,0,0,-1.53909601784255,CN06-089
CN08-018,2008,Female,A,40,0,0,0,0.869600077815857,CN07-024
CN08-020,2008,Female,A,56,0,0,0,2.41116557903724,NA
CN08-022,2008,Male,J,18,1,0,2,-1.25005248636354,CN07-158
CN08-022,2009,Male,A,49,0,9,9,1.73673067225289,CN07-158
CN08-023,2008,Male,A,42,0,0,0,1.06229576546853,NA
CN08-025,2008,Male,J,18,0,0,0,-1.25005248636354,CN06-187
CN08-026,2008,Female,A,38,0,3,3,0.676904390163184,NA
CN08-027,2008,Male,A,35,0,3,3,0.387860858684175,NA
CN08-028,2008,Male,J,23,0,0,0,-0.768313267231862,CN07-131
CN08-029,2008,Male,J,22,0,0,0,-0.864661111058199,CN07-124
CN08-030,2008,Male,J,16,0,0,0,-1.44274817401622,CN07-125
CN08-031,2008,Male,J,23,0,0,0,-0.768313267231862,CN07-124
CN08-032,2008,Female,A,45,1,0,2,1.35133929694754,CN07-043
CN08-032,2009,Female,A,45,1,0,2,1.35133929694754,CN07-043
CN08-032,2010,Female,A,50,0,0,0,1.83307851607922,CN07-043
CN08-033,2008,Male,J,22,0,0,0,-0.864661111058199,CN07-108
CN08-034,2008,Female,J,18,0,0,0,-1.25005248636354,CN07-108
CN08-035,2008,Male,J,20,0,0,0,-1.05735679871087,CN07-187
CN08-036,2008,Female,J,21,1,0,2,-0.961008954884535,CN08-009
CN08-036,2009,Female,A,39,0,5,5,0.773252233989521,CN08-009
CN08-037,2008,Male,A,48,0,4,4,1.64038282842655,CN07-047
CN08-038,2008,Male,J,20,0,0,0,-1.05735679871087,CN06-157
CN08-039,2008,Male,J,20,0,0,0,-1.05735679871087,CN07-086
CN08-041,2008,Male,J,20,0,0,0,-1.05735679871087,CN08-004
CN08-043,2008,Male,J,18,0,0,0,-1.25005248636354,CN07-004
CN08-044,2008,Male,J,15,0,0,0,-1.53909601784255,CN07-004
CN08-045,2008,Female,J,15,0,0,0,-1.53909601784255,CN07-165
CN08-046,2008,Male,J,22,0,0,0,-0.864661111058199,CN07-026
CN08-047,2008,Male,J,21,0,0,0,-0.961008954884535,CN08-009
CN08-048,2008,Female,J,25,0,0,0,-0.575617579579189,CN07-158
CN08-049,2008,Male,J,19,0,0,0,-1.15370464253721,CN07-165
CN08-050,2008,Male,A,43,1,3,5,1.15864360929487,NA
CN08-050,2009,Male,A,53,0,10,10,2.12212204755823,NA
CN08-051,2008,Male,J,25,0,0,0,-0.575617579579189,NA
CN08-052,2008,Male,J,15,0,0,0,-1.53909601784255,CN07-178
CN08-053,2008,Female,J,17,1,0,2,-1.34640033018988,CN07-178
CN08-053,2009,Female,A,43,0,7,7,1.15864360929487,CN07-178
CN08-054,2008,Male,J,26,0,0,0,-0.479269735752853,CN07-125
CN08-055,2008,Male,J,16,0,0,0,-1.44274817401622,CN08-026
CN08-056,2008,Female,J,12,0,0,0,-1.82813954932156,CN08-012
CN08-058,2008,Male,J,20,0,0,0,-1.05735679871087,CN07-124
CN08-059,2008,Male,J,20,1,0,2,-1.05735679871087,CN07-187
CN08-059,2009,Male,A,37,1,9,11,0.580556546336848,CN07-187
CN08-059,2010,Male,A,42,0,2,2,1.06229576546853,CN07-187
CN08-060,2008,Male,J,23,0,0,0,-0.768313267231862,CN07-187
CN08-061,2008,Male,J,17,0,0,0,-1.34640033018988,CN07-131
CN08-062,2008,Male,J,20,0,0,0,-1.05735679871087,CN07-131
CN08-063,2008,Male,J,20,0,0,0,-1.05735679871087,CN07-036
CN08-064,2008,Female,J,18,1,0,2,-1.25005248636354,CN07-123
CN08-064,2009,Female,A,33,0,6,6,0.195165171031502,CN07-123
CN08-065,2008,Female,J,15,0,0,0,-1.53909601784255,CN07-124
CN08-066,2008,Female,J,15,0,0,0,-1.53909601784255,CN07-124
CN08-067,2008,Female,J,21,0,0,0,-0.961008954884535,NA
CN08-068,2008,Male,A,43,0,1,1,1.15864360929487,NA
CN08-069,2008,Male,J,28,0,0,0,-0.28657404810018,CN08-005
CN08-071,2008,Female,J,26,1,0,2,-0.479269735752853,CN07-165
CN08-071,2009,Female,A,34,0,6,6,0.291513014857839,CN07-165
