"","Sex","BloodNumber","Site","BCestimate","angles","Season1","log_T_vol","t.bodyratio"
"501","0","TKN-40","A",-0.0321889351533511,0.739688860864967,-1.83690953073357e-16,3.29522622944012,0.000333910768391518
"511","0","TKN-61","A",-0.00662354837538104,-0.613856141822612,6.12303176911189e-17,2.99799669574102,0.000182339513036751
"521","0","TKN-61","A",0.277400564364665,-0.679273338897293,-1,3.56357169955308,0.000529983378294497
"531","0","TKN-41","A",0.0674638489991477,-0.85286433140216,6.12303176911189e-17,4.86932509035461,0.0116001186343033
"541","0","TKN-41","A",0.0384051563568062,-0.716152188314394,-1,5.24874349540471,0.0295300264513137
"561","0","TKN-111","A",-0.0500243868083592,0.75113193087052,-1.83690953073357e-16,2.79806242402976,0.000140808294455807
"571","0","WIL-87","B",0.0470030689153138,-0.894487082228795,6.12303176911189e-17,4.48740572085086,0.00446586776706769
"581","0","TKN-109","A",0.162662911932143,0.75113193087052,-1.83690953073357e-16,3.79929078624389,0.00150838178414264
"591","0","TKN-134","A",-0.03527854088782,-0.572403972737815,6.12303176911189e-17,4.73443480792266,0.0109697047893182
"601","0","WIL-97","B",-0.0902175348797887,0.909307559292236,-1.83690953073357e-16,2.31468471293958,3.76559081390249e-05
"611","0","WIL-97","B",0.0403722818677408,-0.600214280548368,6.12303176911189e-17,4.67807157772577,0.00743729182813358
"621","0","WIL-54","B",-0.100397348824957,0.600214280548368,1,3.4082361338167,0.00047732521479299
"631","0","WIL-54","B",-0.0551843195369632,-0.861701759948068,6.12303176911189e-17,4.67983387780289,0.00900029547784187
"661","0","TKN-106","A",-0.0223838521406364,-0.666575128209563,6.12303176911189e-17,4.51899232133839,0.00553637771269052
"68","0","TKN-125","A",-0.0847015400923554,0.75113193087052,-1.83690953073357e-16,3.95932899564057,0.00213551477523566
"69","0","TKN-105","A",0.0057291258040435,-0.843775559823186,6.12303176911189e-17,3.37005806245559,0.000444662545432067
"70","0","WIL-99","B",-0.0256128364869952,0.916316904487005,-1.83690953073357e-16,4.35147914281117,0.00413517051665453
"71","0","WIL-113","B",-0.036986418824527,0.600214280548368,-1.83690953073357e-16,4.02359385879094,0.00190740607230366
"73","0","TKN-131","A",-0.092872159333146,-0.824854774859424,6.12303176911189e-17,4.18862984907796,0.00298823941182042
"74","0","WIL-79","B",-0.248915172651367,-0.861701759948068,6.12303176911189e-17,2.11652594083684,2.37927163298818e-05
"75","0","TKN-142","A",0.0241932349011191,0.666575128209563,1,1.20554260418829,2.62822071308152e-06
"76","0","TKN-142","A",-0.0423643263712936,-0.529433891218185,6.12303176911189e-17,3.69791735813552,0.000963310442685813
"77","0","TKN-144","A",-0.0608843529395273,0.716152188314393,-1.83690953073357e-16,3.14742190277326,0.000280714209153017
"78","0","TKN-144","A",0.150933879852479,0.728027801156985,1,3.11593100355397,0.00019667699372668
"79","0","TKN-144","A",0.0746662270979543,-0.543918954328725,6.12303176911189e-17,3.28050767658684,0.000304057406630776
"80","0","TKN-173","A",0.0236562241642018,0.716152188314393,1,3.76796987145806,0.00100819864980616
"83","0","TKN-146","A",-0.012634903905029,-0.586395533370696,6.12303176911189e-17,2.73986310099562,0.000100544181682825
"85","0","TKN-61","A",0.00994072995964301,-0.613856141822612,6.12303176911189e-17,2.98588841107114,0.000174412710488907
"86","0","WIL-45","B",0.0613409611942539,0.627317096874294,1,4.56687066957456,0.00522904049086833
"87","0","WIL-39","B",-0.0391407958100924,0.640593178698175,1,4.26258878880148,0.00320632440598879
"88","0","TKN-81","A",0.0352585799616247,0.794657851737625,1,2.89521744752221,0.000141510478641205
"89","0","TKN-81","A",-0.0630743040118772,-0.653680474772006,-1,5.06797368171572,0.0230887872730015
"91","0","WIL-41","B",0.169989090678534,-0.613856141822612,6.12303176911189e-17,3.44556485783586,0.000414715427426707
"92","0","WIL-27","B",-0.148821654276771,0.909307559292236,-1.83690953073357e-16,4.52194801543549,0.00669674277099617
"93","0","TKN-06","A",0.14381722336719,-0.794657851737625,6.12303176911189e-17,4.09978964224879,0.00200988276612913
"94","0","TKN-11","A",0.0859108473180377,-0.613856141822612,-1,2.95582524190716,0.000130611072123009
"95","0","TKN-11","A",0.0996744821101128,0.794657851737624,-1.83690953073357e-16,3.76292019405198,0.000850248245858528
"96","0","TKN-15","A",0.125600113277439,-0.600214280548368,6.12303176911189e-17,3.8850255655226,0.0013855849417926
"97","0","TKN-12","A",-0.0440544301944998,-0.600214280548369,-1,3.00355863798747,0.000181664225902208
"98","0","TKN-12","A",-0.0569298474856584,0.76235363884839,-1.83690953073357e-16,4.4010217692338,0.00471616055127232
